Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Device Memory Read Throughput(bytes/sec),Floating Point Operations(Double Precision),Device Memory Write Throughput(bytes/sec),Device Memory Read Transactions,Floating Point Operations(Single Precision),Device Memory Write Transactions
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__uninitialized_fill::functor<thrust::device_ptr<unsigned long>, unsigned long>, unsigned long>, thrust::cuda_cub::__uninitialized_fill::functor<thrust::device_ptr<unsigned long>, unsigned long>, unsigned long>(thrust::device_ptr<unsigned long>, unsigned long)",1,3072,8,0,0,416000000,0,36510000000,40,0,3505
"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*, int*, int, thrust::maximum<unsigned long>, int>(int, unsigned long, thrust::maximum<unsigned long>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*)",9,3428,27,44,0,822000000,0,119000000,88,0,12
"void cub::DeviceReduceSingleTileKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max, double>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*)",189,3817,34,48,0,813000000,0,133000000,97,0,15
"void _GLOBAL__N__63_tmpxft_00007457_00000000_8_vector_operations_compute_61_cpp1_ii_efda9bfe::multiplyKernel<double>(double*, _GLOBAL__N__63_tmpxft_00007457_00000000_8_vector_operations_compute_61_cpp1_ii_efda9bfe::multiplyKernel<double> const *, _GLOBAL__N__63_tmpxft_00007457_00000000_8_vector_operations_compute_61_cpp1_ii_efda9bfe::multiplyKernel<double>, unsigned long)",45,4017,10,0,0,93064000000,46656,32874000000,11683,0,4127
"void cub::DeviceReduceKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, cub::GridEvenShare<cub::Max>, double*)",189,4997,32,48,0,9701000000,0,281000000,1515,0,44
"void alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3>(int=3, alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3>, unsigned long, unsigned long, unsigned long, unsigned long, alsutils::vec3<int>, alsutils::vec3)",63,5105,24,0,0,1682000000,0,34749000000,268,0,5544
"void _GLOBAL__N__63_tmpxft_00007457_00000000_8_vector_operations_compute_61_cpp1_ii_efda9bfe::addKernel<double>(double*, _GLOBAL__N__63_tmpxft_00007457_00000000_8_vector_operations_compute_61_cpp1_ii_efda9bfe::addKernel<double> const *, _GLOBAL__N__63_tmpxft_00007457_00000000_8_vector_operations_compute_61_cpp1_ii_efda9bfe::addKernel<double> const , unsigned long)",45,5176,10,0,0,144335000000,46656,40461000000,23350,0,6546
"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, thrust::detail::normal_iterator<thrust::device_ptr<unsigned long>>, int*, int, thrust::maximum<unsigned long>>(int, unsigned long, thrust::maximum<unsigned long>, thrust::cuda_cub::cub::GridEvenShare<unsigned long>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600)",9,6173,29,44,0,61404000000,0,9379000000,11847,0,1809
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000073f8_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_3c418705::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",50,6937,23,0,0,3317000000,0,2008000000,719,0,435
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000073f8_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_3c418705::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",50,6989,22,0,0,3306000000,0,1902000000,722,0,415
