Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Device Memory Write Transactions,Device Memory Read Throughput(bytes/sec),Floating Point Operations(Double Precision),Device Memory Read Transactions,Device Memory Write Throughput(bytes/sec),Floating Point Operations(Single Precision)
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__uninitialized_fill::functor<thrust::device_ptr<unsigned long>, unsigned long>, unsigned long>, thrust::cuda_cub::__uninitialized_fill::functor<thrust::device_ptr<unsigned long>, unsigned long>, unsigned long>(thrust::device_ptr<unsigned long>, unsigned long)",1,2720,8,0,0,8735,564000000,0,48,102764000000,0
"void cub::DeviceReduceSingleTileKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max, double>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*)",189,3193,32,48,0,107,1201000000,0,119,1076000000,0
"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*, int*, int, thrust::maximum<unsigned long>, int>(int, unsigned long, thrust::maximum<unsigned long>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*)",9,3504,40,44,0,15,1097000000,0,120,137000000,0
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3>(int=3, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3>, unsigned long, unsigned long, unsigned long, unsigned long, alsutils::vec3<int>, alsutils::vec3)",63,3917,24,0,0,10587,1298000000,0,159,86486000000,0
"void cub::DeviceReduceKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, cub::GridEvenShare<cub::Max>, double*)",189,4103,32,48,0,1020,12015000000,0,1540,7955000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",50,4445,32,0,0,1202,5570000000,0,773,8654000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",50,4535,32,0,0,1109,5453000000,0,773,7825000000,0
"void _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::multiplyKernel<double>(double*, _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::multiplyKernel<double> const *, _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::multiplyKernel<double>, unsigned long)",45,4557,10,0,0,9973,82125000000,46656,11697,70024000000,0
"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, thrust::detail::normal_iterator<thrust::device_ptr<unsigned long>>, int*, int, thrust::maximum<unsigned long>>(int, unsigned long, thrust::maximum<unsigned long>, thrust::cuda_cub::cub::GridEvenShare<unsigned long>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600)",9,4948,29,44,0,2714,76661000000,0,11855,17552000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=0, bool=1>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",50,5377,32,0,0,865,4980000000,0,837,5151000000,0
